
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-23 01:18:28 /admin-lppm/monev ............................................... ~ 500.89ms
  2026-02-23 01:18:28 /_debugbar/open ................................................... ~ 0.12ms
  2026-02-23 01:18:29 /laporan-pkm ...................................................... ~ 0.17ms
  2026-02-23 01:18:29 /laporan-luaran ................................................. ~ 505.23ms
  2026-02-23 01:18:29 /_debugbar/open ................................................. ~ 507.85ms
  2026-02-23 01:18:29 /laporan-mitra .................................................... ~ 2.60ms
  2026-02-23 01:18:29 /_debugbar/open ................................................. ~ 507.49ms
  2026-02-23 01:18:30 /_debugbar/open ................................................. ~ 508.28ms
  2026-02-23 01:18:35 /livewire-9c90a31d/update ......................................... ~ 0.22ms
  2026-02-23 01:18:35 /_debugbar/open ................................................. ~ 501.37ms
  2026-02-23 01:18:37 /livewire-9c90a31d/update ......................................... ~ 0.20ms
  2026-02-23 01:18:37 /_debugbar/open ................................................... ~ 0.10ms
  2026-02-23 01:18:53 /dashboard ........................................................ ~ 0.47ms
  2026-02-23 01:18:53 /_debugbar/open ................................................. ~ 504.38ms
  2026-02-23 01:18:53 /logo.png ......................................................... ~ 0.16ms
  2026-02-23 01:18:53 /dashboard ...................................................... ~ 501.42ms
  2026-02-23 01:18:54 /_debugbar/open ................................................... ~ 0.14ms
  2026-02-23 01:18:56 /settings/master-data ............................................. ~ 0.18ms
  2026-02-23 01:18:57 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:18:57 /logo.png ......................................................... ~ 0.10ms
